Model,Correct (%),Safe (%),Unsafe (%),Mean Error (%),Median Error (%),Std Error (%)
LINEAR_REGRESSION_ORIGINAL,6.319702602230483,59.479553903345725,34.20074349442379,-249.47576260310802,45.07753252517018,1175.3258604425632
LINEAR_REGRESSION_FILTERED,5.204460966542751,57.62081784386617,37.174721189591075,-387.6445894150608,33.56988135875429,1481.2562094320763
LINEAR_REGRESSION_SPECIFIC,7.063197026022305,53.53159851301115,39.405204460966544,-191.07836531773924,26.28243239517318,832.1456302112333
POLYNOMIAL_REGRESSION-ORIGINAL,21.00371747211896,43.49442379182156,35.501858736059475,-14.310557226877279,3.837581627595213,241.5398171874353
POLYNOMIAL_REGRESSION_FILTERED,24.721189591078065,45.72490706319702,29.55390334572491,-1.3180539237321143,4.87309401718124,188.1936471381117
POLYNOMIAL_REGRESSION-SPECIFIC,26.579925650557623,48.141263940520446,25.27881040892193,19.928574260306632,6.750189349139152,80.81968129843591
RANDOM_FOREST_ORIGINAL,69.14498141263941,25.650557620817843,5.204460966542751,10.826398148174931,1.1149314742675784,30.444126196422246
RANDOM_FOREST_FILTERED,65.98513011152416,23.79182156133829,10.223048327137546,7.566019327965838,0.8062374786779769,31.54635331509759
RANDOM_FOREST_SPECIFIC,42.193308550185876,36.61710037174721,21.189591078066915,26.09718460857105,2.0434101875899264,94.67580280473265
FFNN_BEST_ORIGINAL,48.51301115241636,30.66914498141264,20.817843866171003,14.113711028727378,2.0161428350768698,86.48193765848269
FFNN_BEST_FILTERED,28.99628252788104,42.00743494423792,28.99628252788104,12.350749132095942,2.027773315253891,74.75286544174135
FFNN_BEST_SPECIFIC,25.8364312267658,42.56505576208178,31.59851301115242,15.146749129681673,3.4986702567818093,84.4227443857499
XGBOOST_ORIGINAL,68.95910780669145,16.356877323420075,14.684014869888475,1.5174173178567416,0.15415260957310728,25.844292872306795
XGBOOST_FILTERED,64.31226765799256,18.029739776951672,17.657992565055764,0.4891784302642578,-0.2031996948657254,31.144140907320804
XGBOOST_SPECIFIC,23.79182156133829,42.37918215613383,33.82899628252788,-3.3730646783488383,0.8107962847726502,118.08412595071302
