Model,Dataset,Total Predictions,Correct (%),Safe (%),Unsafe (%),MAE (s),RMSE (s),MAPE (%)
Linear Regression_ORIGINAL,original,538,6.319702602230483,59.479553903345725,34.20074349442379,1010.462110847862,1741.8328871092904,474.1287113897427
Polynomial Regression_ORIGINAL,original,538,21.00371747211896,43.49442379182156,35.501858736059475,338.5177691499746,709.5509631658114,105.4000294812429
Random Forest_ORIGINAL,original,538,69.14498141263941,25.650557620817843,5.204460966542751,129.83391398477607,384.3794900476539,14.639623623349781
FFNN_ORIGINAL,original,538,49.628252788104085,25.092936802973973,25.27881040892193,125.32235074475352,288.4780115625959,39.9271743769665
XGBoost_ORIGINAL,original,538,65.79925650557621,17.657992565055764,16.54275092936803,74.99398821133829,180.39844935571702,15.319787862181146
Linear Regression_FILTERED,filtered,511,7.045009784735812,58.51272015655577,34.44227005870842,681.6152130171428,1222.3115760271978,306.9126689255531
Polynomial Regression_FILTERED,filtered,511,24.070450097847356,46.771037181996086,29.158512720156555,285.193289179306,647.1630748455353,94.73633073933415
Random Forest_FILTERED,filtered,511,69.47162426614481,25.048923679060664,5.47945205479452,91.23199421302768,273.8455624230332,14.411793044931132
FFNN_FILTERED,filtered,511,44.61839530332681,25.63600782778865,29.74559686888454,92.98506473263181,197.4150215683599,37.06390932536497
XGBoost_FILTERED,filtered,511,62.426614481409004,21.52641878669276,16.046966731898237,57.18436366477495,145.36359891330602,16.04746710223299
